      131.5120694861    21716.8007812500        4.6612200737
      131.5325041414    21712.9003906250        4.6610398293
      131.5529386965    21704.6992187500        4.6604499817
      131.5733731517    21714.4003906250        4.6623702049
      131.5938077069    21706.4003906250        4.6604900360
      131.6142423620    21712.6992187500        4.6610898972
      131.6346768171    21696.6992187500        4.6598801613
      131.6551113721    21705.9003906250        4.6604900360
      131.6755460272    21704.1992187500        4.6604299545
      131.6959805822    21694.0000000000        4.6595602036
      131.7164150370    21685.1992187500        4.6591701508
      131.7368495920    21692.8007812500        4.6595702171
      131.7572842468    21685.9003906250        4.6590499878
      131.7777187015    21693.0996093750        4.6595401764
      131.7981532563    21684.4003906250        4.6590600014
      131.8185879111    21688.3007812500        4.6593399048
      131.8390223657    21678.6992187500        4.6587500572
      131.8594569204    21673.5000000000        4.6582798958
      131.8798914750    21684.0000000000        4.6589498520
      131.9003260296    21674.5996093750        4.6583700180
      131.9207605841    21667.5000000000        4.6578998566
      131.9411951386    21680.0996093750        4.6586499214
      131.9616296931    21669.6992187500        4.6580100060
      131.9820642475    21678.8007812500        4.6585798264
      132.0024988018    21672.1992187500        4.6581501961
      132.0229332561    21663.0996093750        4.6575198174
      132.0433679105    21673.9003906250        4.6582298279
      132.0638024647    21656.3007812500        4.6570601463
      132.0842369188    21669.0996093750        4.6580100060
      132.1046714730    21658.8007812500        4.6572198868
      132.1251061271    21657.5000000000        4.6570501328
      132.1455405813    21656.0000000000        4.6571102142
      132.1659751353    21658.5000000000        4.6571102142
      132.1864097893    21649.1992187500        4.6567702293
      132.2068443432    21655.3007812500        4.6571202278
      132.2272787971    21655.1992187500        4.6569199562
      132.2477133510    21653.4003906250        4.6567797661
      132.2681480049    21663.1992187500        4.6576600075
      132.2885824587    21671.5000000000        4.6580200195
      132.3090170124    21651.0000000000        4.6566200256
      132.3294516662    21652.5996093750        4.6567797661
      132.3498861199    21648.3007812500        4.6564102173
      132.3703206734    21652.5000000000        4.6567101479
      132.3907552271    21649.1992187500        4.6564898491
      132.4111897805    21634.9003906250        4.6557998657
      132.4316243341    21638.3007812500        4.6557798386
      132.4520588875    21641.5996093750        4.6560997963
      132.4724935410    21645.5996093750        4.6562500000
      132.4929279943    21654.4003906250        4.6569299698
      132.5133625476    21634.0996093750        4.6554698944
      132.5337970010    21639.3007812500        4.6558799744
      132.5542316543    21645.6992187500        4.6561899185
      132.5746662075    21646.0996093750        4.6562900543
      132.5951006606    21628.1992187500        4.6550297737
      132.6155353137    21636.0996093750        4.6555800438
      132.6359698668    21633.8007812500        4.6554198265
      132.6564044199    21638.8007812500        4.6557002068
      132.6768388728    21642.4003906250        4.6562099457
      132.6972735257    21646.8007812500        4.6567502022
      132.7177080787    21662.0000000000        4.6574101448
      132.7381425315    21658.9003906250        4.6572499275
      132.7585771843    21653.4003906250        4.6567001343
      132.7790117371    21644.6992187500        4.6562099457
      132.7994461898    21645.9003906250        4.6561298370
